# 기상청 행정구역코드(areaNo) → 대표 좌표. 생활기상지수 API가 nx/ny 격자가 아니라 이 코드를 받는다.
# 출처: 기상청 '동네예보 구역코드' 배포 엑셀(dfs-zone-tree, 2026-07-01) 중 시군구 단위 행만 추린 것.
# 좌표는 해당 구역의 대표 지점이며, AreaCodeResolver가 최근접 탐색에만 쓴다.
# 형식: areaNo,위도,경도,이름
4418000000,36.33058,126.61489,충청남도 보령시
4420000000,36.78711,127.00464,충청남도 아산시
4421000000,36.78210,126.45216,충청남도 서산시
4423000000,36.18420,127.10091,충청남도 논산시
4425000000,36.27184,127.25093,충청남도 계룡시
4427000000,36.89075,126.63025,충청남도 당진시
4471000000,36.10587,127.49031,충청남도 금산군
4476000000,36.27282,126.91186,충청남도 부여군
4477000000,36.07741,126.69389,충청남도 서천군
4479000000,36.45627,126.80426,충청남도 청양군
4480000000,36.59836,126.66291,충청남도 홍성군
4481000000,36.67981,126.85087,충청남도 예산군
4482500000,36.74267,126.29998,충청남도 태안군
4611000000,34.80879,126.39442,전라남도 목포시
4613000000,34.75731,127.66439,전라남도 여수시
4615000000,34.94761,127.48933,전라남도 순천시
4617000000,35.01284,126.71287,전라남도 나주시
4623000000,34.93754,127.69818,전라남도 광양시
4671000000,35.31813,126.99016,전라남도 담양군
4672000000,35.27896,127.29411,전라남도 곡성군
4673000000,35.19946,127.46493,전라남도 구례군
4677000000,34.60807,127.28706,전라남도 고흥군
4678000000,34.76833,127.08209,전라남도 보성군
4679000000,35.06148,126.98857,전라남도 화순군
4680000000,34.67853,126.90911,전라남도 장흥군
4681000000,34.63891,126.76920,전라남도 강진군
4682000000,34.57044,126.60129,전라남도 해남군
4683000000,34.79699,126.69862,전라남도 영암군
4684000000,34.98737,126.48370,전라남도 무안군
4686000000,35.06274,126.51862,전라남도 함평군
4687000000,35.27417,126.51409,전라남도 영광군
4688000000,35.29881,126.78697,전라남도 장성군
4689000000,34.30785,126.75710,전라남도 완도군
4690000000,34.48375,126.26554,전라남도 진도군
4691000000,34.78981,126.38173,전라남도 신안군
4711100000,36.00569,129.36167,경상북도 포항시남구
4711300000,36.03885,129.36791,경상북도 포항시북구
4713000000,35.85317,129.22702,경상북도 경주시
4715000000,36.13690,128.11580,경상북도 김천시
4717000000,36.56546,128.73162,경상북도 안동시
4719000000,36.11655,128.34678,경상북도 구미시
4721000000,36.80294,128.62634,경상북도 영주시
4723000000,35.97005,128.94078,경상북도 영천시
4725000000,36.40797,128.16126,경상북도 상주시
4728000000,36.58363,128.18902,경상북도 문경시
4729000000,35.82209,128.74346,경상북도 경산시
4773000000,36.34976,128.69936,경상북도 의성군
4775000000,36.43329,129.05940,경상북도 청송군
4776000000,36.66427,129.11462,경상북도 영양군
4777000000,36.41210,129.36836,경상북도 영덕군
4782000000,35.64431,128.73620,경상북도 청도군
4783000000,35.72299,128.26502,경상북도 고령군
4785000000,35.99255,128.40380,경상북도 칠곡군
4790000000,36.65495,128.45502,경상북도 예천군
4792000000,36.89026,128.73487,경상북도 봉화군
4793000000,36.99019,129.40279,경상북도 울진군
4794000000,37.48058,130.90379,경상북도 울릉군
4812100000,35.25400,128.64015,경상남도 창원시의창구
4812300000,35.19838,128.70294,경상남도 창원시성산구
4812500000,35.19687,128.56786,경상남도 창원시마산합포구
4812700000,35.22093,128.57971,경상남도 창원시마산회원구
4812900000,35.13306,128.71008,경상남도 창원시진해구
4817000000,35.17703,128.11000,경상남도 진주시
4822000000,34.85126,128.43528,경상남도 통영시
4824000000,35.00028,128.06678,경상남도 사천시
4825000000,35.22551,128.89167,경상남도 김해시
4827000000,35.50078,128.74894,경상남도 밀양시
4831000000,34.87736,128.62336,경상남도 거제시
4833000000,35.33193,129.03941,경상남도 양산시
4872000000,35.31912,128.26382,경상남도 의령군
4873000000,35.26941,128.40871,경상남도 함안군
4874000000,35.54154,128.49453,경상남도 창녕군
4882000000,34.96990,128.32454,경상남도 고성군
4884000000,34.83456,127.89447,경상남도 남해군
4885000000,35.06420,127.75343,경상남도 하동군
4886000000,35.41249,127.87562,경상남도 산청군
4887000000,35.51747,127.72742,경상남도 함양군
4888000000,35.68362,127.91166,경상남도 거창군
4889000000,35.56362,128.16793,경상남도 합천군
5011000000,33.49631,126.53321,제주특별자치도 제주시
5013000000,33.25406,126.55955,제주특별자치도 서귀포시
5111000000,37.87854,127.73231,강원특별자치도 춘천시
5113000000,37.33908,127.92206,강원특별자치도 원주시
5115000000,37.74914,128.87850,강원특별자치도 강릉시
5117000000,37.52193,129.11663,강원특별자치도 동해시
5119000000,37.16123,128.98800,강원특별자치도 태백시
5121000000,38.20428,128.59417,강원특별자치도 속초시
5123000000,37.44709,129.16749,강원특별자치도 삼척시
5172000000,37.69442,127.89084,강원특별자치도 홍천군
5173000000,37.48896,127.98722,강원특별자치도 횡성군
5175000000,37.18086,128.46402,강원특별자치도 영월군
5176000000,37.36792,128.39235,강원특별자치도 평창군
5177000000,37.37781,128.66309,강원특별자치도 정선군
5178000000,38.14406,127.31573,강원특별자치도 철원군
5179000000,38.10341,127.71036,강원특별자치도 화천군
5180000000,38.10729,127.99224,강원특별자치도 양구군
5181000000,38.06697,128.17270,강원특별자치도 인제군
5182000000,38.37796,128.47016,강원특별자치도 고성군
5183000000,38.07283,128.62136,강원특별자치도 양양군
5211100000,35.80919,127.12192,전북특별자치도 전주시완산구
5211300000,35.82639,127.13642,전북특별자치도 전주시덕진구
5213000000,35.96464,126.73884,전북특별자치도 군산시
5214000000,35.94527,126.95985,전북특별자치도 익산시
5218000000,35.56687,126.85811,전북특별자치도 정읍시
5219000000,35.41326,127.39250,전북특별자치도 남원시
5221000000,35.80057,126.88275,전북특별자치도 김제시
5271000000,35.84297,127.14960,전북특별자치도 완주군
5272000000,35.78872,127.42697,전북특별자치도 진안군
5273000000,36.00383,127.66287,전북특별자치도 무주군
5274000000,35.64430,127.52330,전북특별자치도 장수군
5275000000,35.60806,127.28475,전북특별자치도 임실군
5277000000,35.37139,127.13963,전북특별자치도 순창군
5279000000,35.43274,126.70411,전북특별자치도 고창군
5280000000,35.72853,126.73568,전북특별자치도 부안군
